A01	A02	A03	A04	A05	A06	A07	B01	B02	B03	B04	B05	B06	B07	C01	C02	C03	C04	C05	C06	D01	D02	D03	D04	D05	D06	E01	E02	E03	E04	E05	E06	F01	F02	F03	F04	F05	F06	G01	G02	G03	G04	G05	G06	H01	H02	H03	H04	H05	H06
7d2e29e650d2703271bc2410f52f6c4c	0	0	0	0	279	318	1085	0	0	0	0	0	583	996	0	0	0	0	0	1422	0	0	0	0	0	206	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	90
646ce7bd81d3ef96bd167c808fae6917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	5116	0	0	0	0	0
67f2ac2747cb04b81511cea9e0e5976a	0	0	0	456	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	1990	136	0	0	0	0	1207	0	0	0	0	0	636	0	0	0	0	0	432	0	0	0
f757cdfa07dd6a560e608571ebdd4a6f	27	0	0	292	0	0	0	41	0	0	175	0	0	0	314	0	0	0	0	0	35	0	0	33	0	0	370	0	95	779	0	0	76	0	130	46	0	0	488	0	1988	0	0	0	39	0	86	0	0	0
73609bf038acea1c50fcf4086f18155b	703	38	0	0	0	0	0	164	10	0	0	0	0	0	963	0	0	0	385	0	0	0	0	0	47	0	1015	0	0	0	293	0	90	0	0	0	108	0	718	0	0	239	77	0	37	0	0	0	110	0
1e72342fa2349ee0a4dfd9ff1939d261	601	0	0	0	0	0	0	27	0	0	0	0	0	0	1827	0	0	0	0	0	31	0	0	11	0	0	1219	0	0	5	0	0	40	0	0	25	0	0	1016	0	0	0	0	0	69	0	14	0	0	0
d6b1e60dd1b017a3329fa8cd3df89800	0	0	2917	0	0	0	0	0	0	224	0	0	0	0	0	137	858	0	0	0	0	0	44	0	0	0	0	297	0	4	0	0	0	25	0	0	0	0	0	109	0	0	0	0	0	38	0	0	0	0
52f00f4cbe6eafdc8845539e16b7b38d	0	0	0	81	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	159	207	0	0	0	0	190	63	0	0	0	0	1799	0	0	0	0	0	1668	0	0	0
20f7891b0e8de83f22f5f0e1ee55a151	149	0	0	67	0	0	0	0	0	0	153	0	0	0	597	0	0	0	0	0	277	0	0	47	0	0	659	0	24	211	0	0	65	0	0	0	0	0	1148	0	325	0	0	0	476	0	176	0	0	0
5b28c23fbac0b74db48f658b975f2c4e	0	0	0	944	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	893	516	0	0	0	0	367	49	0	0	0	0	943	0	0	0	0	0	217	37	0	0
43ec8a3521a2c869f69163acaad9a002	0	0	874	7	0	0	0	0	0	219	0	0	0	0	0	524	886	0	0	0	0	37	195	15	0	0	0	862	0	0	0	0	0	34	0	0	0	0	0	472	33	0	0	0	0	92	17	0	0	0
157a2b3cbff7554f1b50cc4ba6bce0a2	0	0	0	0	315	315	197	0	0	0	0	0	924	184	0	0	0	0	0	96	0	0	0	0	0	104	0	0	0	0	0	409	0	0	0	0	0	692	0	0	0	0	0	429	0	0	0	0	0	404
e500bfbd162247b2a231c2da5704b7d6	0	0	1049	0	0	0	0	0	0	175	0	0	0	0	0	591	795	0	0	0	0	40	114	0	0	0	0	335	0	0	0	0	0	57	0	0	0	0	0	797	0	0	0	0	0	42	0	0	0	0
b658c723c490d3140373e24eddc56b40	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
715a85841cb3c01c6087fb8638ade8e4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	582	0	0	0	0	0	4	0	0	0	0	0	1558	0	0	0	0	0	36	0	0	0	0	411	1113	0	0	0	0	12	28	0
65fc1de80a7d20eb9bcac4e9ac18299d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1545	0	0	0	0	0	2048	32	0	0	0	0	0	0	0	0	0	0	34	0	0	0
42a7956bef660a75428e2eb54fcbc279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	3314	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
6b7da021e2122354dec4f94ce6fc1d40	0	0	24	0	0	0	0	0	0	101	0	0	0	0	0	85	0	0	0	0	0	12	0	0	0	0	0	28	0	0	0	0	0	46	0	0	0	0	0	1025	0	0	0	0	0	1991	0	0	0	0
1929c854c659be6d51b98d3f3e2bad6c	0	0	702	0	0	0	0	0	0	105	0	0	0	0	0	446	618	0	0	0	0	42	223	0	0	0	0	250	0	0	0	0	0	44	0	0	0	0	0	575	0	0	0	0	0	208	0	0	0	0
0f286ea7ad440c13315efde1f373770f	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	992	67	0	0	0	0	22	84	0	0	0	0	1073	0	0	0	0	0	44	0	0	0	0	0	652	0	0	0	0	0	45	0	0	0	0
2f58803157411236bea86ee0476f0627	0	0	172	0	0	0	0	0	0	26	0	0	0	0	0	1242	123	0	0	0	0	30	20	0	0	0	0	757	0	0	0	0	0	67	0	0	0	0	0	636	0	0	0	0	0	116	0	0	0	0
fcc1f4ba973108fb5596265a75239d42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	3059	0	0	0	0
5da4984efe9677abe27eed6c552621a3	0	0	7	265	0	0	0	0	0	0	9	0	0	0	0	1612	20	0	0	0	0	222	0	29	0	0	0	517	96	22	0	0	0	40	62	0	0	0	0	30	112	0	0	0	0	0	17	0	0	0
c6c40994a92e226addfd267507be31b8	0	0	0	0	0	0	84	0	0	0	0	0	48	109	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	133	0	0	0	0	0	348	0	0	0	0	0	997	0	0	0	0	0	1262
eac2ff97a54c75df22a630cf3b5be2bc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fdbac5adea18a2db7c47eaa12473fee9	0	0	0	575	0	0	0	10	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	576	386	0	0	0	0	87	17	0	0	0	0	1041	0	0	0	0	0	118	0	0	0
